stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
123,28-02-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,Industrial Area,2,20,475,"Govindpura, AKUN, Bhopal",3,1
123,31-08-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,Industrial Area,2,13,84,"Govindpura, AKUN, Bhopal",3,1
123,30-11-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,Industrial Area,2,14,151,"Govindpura, AKUN, Bhopal",3,1
127,30-06-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,Industrial Area,10,19,76,"M.P. Laghu Udyog, Pologround, Indore",14,1
127,30-10-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,Industrial Area,11,21,112,"M.P. Laghu Udyog, Pologround, Indore",16,1
128,31-01-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10,18,136,"Kothari Market, M.G. Road, Indore",14,1
128,28-02-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11,21,91,"Kothari Market, M.G. Road, Indore",16,1
128,30-09-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10,20,59,"Kothari Market, M.G. Road, Indore",14,1
131,30-04-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11,20,202,"Telephone Nagar, 26 A, Kanadia Road Indore",16,1
131,31-07-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11,21,74,"Telephone Nagar, 26 A, Kanadia Road Indore",16,1
131,31-12-2015,Madhya Pradesh,Indore,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10,20,132,"Telephone Nagar, 26 A, Kanadia Road Indore",14,1
246,31-03-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",17,23,64,"Grasim Kalyan Kendra, Nagda",24,1
246,30-06-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",14,19,52,"Grasim Kalyan Kendra, Nagda",20,1
246,31-07-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",12,28,57,"Grasim Kalyan Kendra, Nagda",17,1
246,30-10-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",18,23,58,"Grasim Kalyan Kendra, Nagda",26,1
