stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
493,31-01-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,Industrial Area,22,52,149,"Terrace of MPCB Central Lab, Mhape, TTC Navi Mumbai",31,1
493,30-09-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,Industrial Area,9,20,47,"Terrace of MPCB Central Lab, Mhape, TTC Navi Mumbai",13,1
494,30-06-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,41,87,"Terrace of MSEB Power Station, Kharghar, Taloja Navi Mumbai",24,1
494,31-07-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,18,58,"Terrace of MSEB Power Station, Kharghar, Taloja Navi Mumbai",16,1
494,30-10-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",21,47,113,"Terrace of MSEB Power Station, Kharghar, Taloja Navi Mumbai",30,1
495,31-01-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",22,49,135,"Panvel Residential Area, Taloja, Navi Mumbai",31,1
495,28-02-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",18,37,128,"Panvel Residential Area, Taloja, Navi Mumbai",26,1
495,30-09-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",19,36,190,"Panvel Residential Area, Taloja, Navi Mumbai",27,1
496,31-08-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,Industrial Area,26,39,188,"Terrace of MIDC Collom Faciolity Building, MIDC Taloja Navi Mumbai",37,0
496,30-11-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,Industrial Area,20,50,251,"Terrace of MIDC Collom Faciolity Building, MIDC Taloja Navi Mumbai",29,1
496,31-12-2015,Maharashtra,Navi Mumbai,Maharashtra State Pollution Control Board,Industrial Area,16,37,170,"Terrace of MIDC Collom Faciolity Building, MIDC Taloja Navi Mumbai",23,1
508,30-04-2015,Maharashtra,Kolhapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17,27,65,"University Campus, Shivaji University, Kolhapur",24,1
